CSS File,Legacy calls remaining,Files containing legacy calls
perf_ui/filmStripView.css,1,"front_end/perf_ui/FilmStripView.js"
perf_ui/flameChart.css,1,"front_end/perf_ui/FlameChart.js"
perf_ui/overviewGrid.css,1,"front_end/perf_ui/OverviewGrid.js"
perf_ui/timelineGrid.css,1,"front_end/perf_ui/TimelineGrid.js"
perf_ui/timelineOverviewInfo.css,0,""
performance_monitor/performanceMonitor.css,1,"front_end/performance_monitor/PerformanceMonitor.js"
persistence/editFileSystemView.css,0,""
persistence/workspaceSettingsTab.css,1,"front_end/persistence/WorkspaceSettingsTab.js"
profiler/heapProfiler.css,1,"front_end/profiler/ProfilesPanel.js"
profiler/liveHeapProfile.css,1,"front_end/profiler/LiveHeapProfileView.js"
profiler/profileLauncherView.css,1,"front_end/profiler/ProfileLauncherView.js"
profiler/profilesPanel.css,1,"front_end/profiler/ProfilesPanel.js"
profiler/profilesSidebarTree.css,1,"front_end/profiler/ProfilesPanel.js"
protocol_monitor/protocolMonitor.css,1,"front_end/protocol_monitor/ProtocolMonitor.js"
quick_open/filteredListWidget.css,1,"front_end/quick_open/FilteredListWidget.js"
resources/appManifestView.css,0,""
resources/backgroundServiceView.css,1,"front_end/resources/BackgroundServiceView.js"
resources/clearStorageView.css,0,""
resources/cookieItemsView.css,0,""
resources/frameDetailsReportView.css,0,""
resources/indexedDBViews.css,0,""
resources/resourcesPanel.css,0,""
resources/resourcesSidebar.css,1,"front_end/resources/ApplicationPanelSidebar.js"
resources/serviceWorkerCacheViews.css,1,"front_end/resources/ServiceWorkerCacheViews.js"
resources/serviceWorkersView.css,0,""
screencast/screencastView.css,1,"front_end/screencast/ScreencastView.js"
search/searchResultsPane.css,1,"front_end/search/SearchResultsPane.js"
search/searchView.css,1,"front_end/search/SearchView.js"
security/lockIcon.css,3,"front_end/security/SecurityPanel.js"
security/mainView.css,1,"front_end/security/SecurityPanel.js"
security/originView.css,1,"front_end/security/SecurityPanel.js"
security/sidebar.css,1,"front_end/security/SecurityPanel.js"
settings/frameworkBlackboxSettingsTab.css,2,"front_end/settings/FrameworkBlackboxSettingsTab.js"
settings/keybindsSettingsTab.css,2,"front_end/settings/KeybindsSettingsTab.js"
settings/settingsScreen.css,2,"front_end/settings/SettingsScreen.js"
source_frame/fontView.css,0,""
source_frame/imageView.css,0,""
source_frame/jsonView.css,0,""
source_frame/resourceSourceFrame.css,1,"front_end/source_frame/ResourceSourceFrame.js"
source_frame/xmlTree.css,1,"front_end/source_frame/XMLView.js"
source_frame/xmlView.css,0,""
sources/breakpointEditDialog.css,1,"front_end/sources/BreakpointEditDialog.js"
sources/callStackSidebarPane.css,1,"front_end/sources/CallStackSidebarPane.js"
sources/debuggerPausedMessage.css,1,"front_end/sources/DebuggerPausedMessage.js"
sources/dialog.css,0,""
sources/javaScriptBreakpointsSidebarPane.css,1,"front_end/sources/JavaScriptBreakpointsSidebarPane.js"
sources/navigatorTree.css,1,"front_end/sources/NavigatorView.js"
sources/navigatorView.css,0,""
sources/scopeChainSidebarPane.css,0,""
sources/sourcesPanel.css,0,""
sources/sourcesView.css,1,"front_end/sources/SourcesView.js"
sources/threadsSidebarPane.css,1,"front_end/sources/ThreadsSidebarPane.js"
sources/watchExpressionsSidebarPane.css,2,"front_end/sources/WatchExpressionsSidebarPane.js"
text_editor/autocompleteTooltip.css,1,"front_end/text_editor/TextEditorAutocompleteController.js"
text_editor/cmdevtools.css,1,"front_end/text_editor/CodeMirrorTextEditor.js"
third_party/lighthouse/report-assets/report.css,1,"front_end/lighthouse/LighthousePanel.js"
timeline/historyToolbarButton.css,1,"front_end/timeline/TimelineHistoryManager.js"
timeline/invalidationsTree.css,0,""
timeline/timelineFlamechartPopover.css,2,"front_end/timeline/TimelineFlameChartNetworkDataProvider.js, front_end/timeline/TimelineFlameChartDataProvider.js"
timeline/timelineHistoryManager.css,1,"front_end/timeline/TimelineHistoryManager.js"
timeline/timelinePaintProfiler.css,1,"front_end/timeline/TimelinePaintProfilerView.js"
timeline/timelinePanel.css,1,"front_end/timeline/TimelinePanel.js"
timeline/timelineStatusDialog.css,1,"front_end/timeline/TimelinePanel.js"
ui/checkboxTextLabel.css,1,"front_end/ui/UIUtils.js"
ui/closeButton.css,0,""
ui/confirmDialog.css,0,""
ui/dialog.css,0,""
ui/dropTarget.css,1,"front_end/ui/DropTarget.js"
ui/emptyWidget.css,0,""
ui/filter.css,1,"front_end/ui/FilterBar.js"
ui/glassPane.css,1,"front_end/ui/GlassPane.js"
ui/infobar.css,1,"front_end/ui/Infobar.js"
ui/inlineButton.css,1,"front_end/ui/UIUtils.js"
ui/inspectorCommon.css,3,"front_end/elements/LayoutPane.ts, front_end/linear_memory_inspector/LinearMemoryValueInterpreter.ts, front_end/ui/utils/inject-core-styles.js"
ui/inspectorStyle.css,1,"front_end/ui/UIUtils.js"
ui/inspectorSyntaxHighlight.css,2,"front_end/elements/LayoutPane.ts, front_end/theme_support/theme_support_impl.js"
ui/inspectorSyntaxHighlightDark.css,1,"front_end/theme_support/theme_support_impl.js"
ui/inspectorViewTabbedPane.css,0,""
ui/listWidget.css,1,"front_end/ui/ListWidget.js"
ui/popover.css,0,""
ui/progressIndicator.css,1,"front_end/ui/ProgressIndicator.js"
ui/radioButton.css,1,"front_end/ui/UIUtils.js"
ui/remoteDebuggingTerminatedScreen.css,1,"front_end/ui/RemoteDebuggingTerminatedScreen.js"
ui/reportView.css,0,""
ui/rootView.css,1,"front_end/ui/RootView.js"
ui/searchableView.css,1,"front_end/ui/SearchableView.js"
ui/segmentedButton.css,1,"front_end/ui/SegmentedButton.js"
ui/slider.css,1,"front_end/ui/UIUtils.js"
ui/smallBubble.css,1,"front_end/ui/UIUtils.js"
ui/softContextMenu.css,1,"front_end/ui/SoftContextMenu.js"
ui/softDropDown.css,1,"front_end/ui/SoftDropDown.js"
